question,ground_truth,contexts
Bagaimana jika saya ingin membatalkan produk premium mall saya?,"Mengikut dasar pembatalan platform, anda boleh membatalkan pesanan anda terus dari akaun platform anda sebelum pesanan dihantar keluar dari platform atau gudang penjual.","['Mengikut dasar pembatalan platform, anda boleh membatalkan pesanan anda terus dari akaun platform anda sebelum pesanan dihantar keluar dari platform atau gudang penjual.']"
Berapa jenis Polisi Pemulangan yang tersedia di platform?,"Terdapat 3 jenis Polisi Pemulangan yang tersedia di platform, bergantung pada produk dan penjual.","['Terdapat 3 jenis Polisi Pemulangan yang tersedia di platform, bergantung pada produk dan penjual.']"
Apakah yang perlu saya lakukan jika saya ingin memulangkan item yang dibeli di bawah promosi 'Jimat Borong'?,anda mesti memulangkan semua item yang telah dihantar dalam satu pakej untuk mengelakkan permintaan anda daripada ditolak.,"[""Walau bagaimanapun, jika anda ingin memulangkan item yang telah anda beli di bawah promosi 'Jimat Borong' dan/atau 'Flexi Combo', yang merupakan diskaun yang diterima daripada pembelian secara pukal. Kemudian, anda mesti memulangkan semua item yang telah dihantar dalam satu pakej untuk mengelakkan permintaan anda daripada ditolak.""]"
Berapa lama tempoh pemulangan untuk produk premium mall & Choice selepas 1 Februari 2024?,30 Hari,['premium mall & Choice (selepas 1 Februari 2024) | 30 Hari | 30 Hari']
Berapa lama tempoh pemulangan untuk produk Pasaran & LazGlobal selepas 31 Oktober 2024?,15 Hari,['Pasaran & LazGlobal (selepas 31 Okt 2024) | 15 Hari | 15 Hari']
Apakah perubahan tempoh pemulangan pelanggan yang dikemas kini bermula dari 31 Oktober 2024?,tempoh pemulangan pelanggan akan dikemas kini dari 7 hari hingga 15 hari untuk Pasaran platform & Penjual LazGlobal.,"['Sila ambil perhatian bahawa bermula dari 31 Oktober 2024, tempoh pemulangan pelanggan akan dikemas kini dari 7 hari hingga 15 hari untuk Pasaran platform & Penjual LazGlobal.']"
Berapa lama tempoh pemulangan untuk produk Taobao di platform?,15 Hari,['Taobao | 15 Hari | 15 Hari']
"Apakah maksud ""Tukar fikiran"" dalam dasar pemulangan platform?","""Tukar fikiran"" membolehkan anda memulangkan item jika anda tidak lagi mahu produk tersebut dan mendapati ia tidak sesuai atau ingin membuat pesanan semula dalam varian yang berbeza (contoh: saiz, warna, gaya).","['""Tukar fikiran"" membolehkan anda memulangkan item jika anda tidak lagi mahu produk tersebut dan mendapati ia tidak sesuai atau ingin membuat pesanan semula dalam varian yang berbeza (contoh: saiz, warna, gaya).']"
"Bilakah saya boleh memulangkan item atas sebab ""Tukar fikiran""?","Anda hanya boleh menghantar permintaan pemulangan di bawah alasan ""Tukar fikiran"" jika: - Item yang anda beli mempunyai logo ""Tukar fikiran"" pada Halaman Produk.","['Anda hanya boleh menghantar permintaan pemulangan di bawah alasan ""Tukar fikiran"" jika: - Item yang anda beli mempunyai logo ""Tukar fikiran"" pada Halaman Produk.']"
"Apakah yang perlu saya perhatikan sebelum memulangkan produk elektronik atas sebab ""Tukar fikiran""?","Produk di bawah Kategori Elektronik hendaklah TIDAK DIBUKA (meterai tidak dikoyak, diusik atau diubah) dan dalam KEADAAN BOLEH DIPERJUALBELI (iaitu, Produk TIDAK mempunyai tanda-tanda: penggunaan, kesan barang dipakai sepeti haus, lusuh dan kemik atau sebarang kerosakan) untuk dianggap layak untuk pulangan ""Tukar fikiran"".","['Produk di bawah Kategori Elektronik hendaklah TIDAK DIBUKA (meterai tidak dikoyak, diusik atau diubah) dan dalam KEADAAN BOLEH DIPERJUALBELI (iaitu, Produk TIDAK mempunyai tanda-tanda: penggunaan, kesan barang dipakai sepeti haus, lusuh dan kemik atau sebarang kerosakan) untuk dianggap layak untuk pulangan ""Tukar fikiran"".']"
