question,ground_truth,contexts
Berapa lama tempoh pemulangan standard untuk barangan yang dibeli dari platform?,Tempoh pemulangan standard adalah 15 hari dari tarikh penghantaran.,['Polisi pemulangan standard kami adalah selama 15 hari dari tarikh penghantaran untuk kebanyakan item. Barangan dari premium mall mempunyai tempoh pemulangan selama 30 hari. Sila pastikan produk berada dalam keadaan asal dengan semua tag masih terpasang untuk memastikan proses pemulangan yang lancar. Pemulangan untuk barangan yang telah digunakan tidak akan diterima.']
Apakah polisi pemulangan untuk item dari premium mall?,Item dari premium mall mempunyai tempoh pemulangan selama 30 hari.,"['Untuk item yang dibeli dari premium mall, anda menikmati tempoh pemulangan yang lebih panjang iaitu 30 hari dari tarikh penerimaan. Ini berbeza dengan tempoh standard 15 hari untuk produk lain. Semua pemulangan memerlukan resit asal dan pembungkusan yang lengkap.']"
Bagaimana cara untuk memohon bayaran balik jika produk rosak?,Anda boleh memohon bayaran balik melalui pusat bantuan dalam aplikasi dengan menyertakan bukti kerosakan.,"['Jika anda menerima produk yang rosak, anda boleh memohon bayaran balik penuh melalui pusat bantuan dalam aplikasi kami. Sila sertakan gambar atau video sebagai bukti kerosakan. Proses ini mungkin mengambil masa 7-14 hari bekerja untuk disahkan.']"
Adakah saya akan mendapat bayaran balik penuh untuk penghantaran?,"Bayaran balik penuh biasanya tidak termasuk kos penghantaran asal, melainkan jika produk rosak atau salah.","['Bayaran balik penuh biasanya tidak termasuk kos penghantaran asal, kecuali jika produk yang diterima rosak atau tidak seperti yang diiklankan. Dalam kes tersebut, kos penghantaran juga akan dikembalikan. Polisi ini bertujuan untuk menampung kos logistik.']"
Berapa lama masa yang diambil untuk bayaran balik diproses ke e-wallet saya?,Bayaran balik ke e-wallet biasanya diproses dalam masa 3 hingga 5 hari bekerja.,"['Bayaran balik yang diproses ke e-wallet anda akan mengambil masa antara 3 hingga 5 hari bekerja untuk dikreditkan. Sila semak sejarah transaksi e-wallet anda selepas tempoh tersebut. Kadang-kadang, kelewatan kecil mungkin berlaku disebabkan oleh pihak bank.']"
Apakah syarat-syarat untuk menggunakan mata ganjaran?,Mata ganjaran boleh digunakan untuk mengurangkan jumlah pembelian dan tidak boleh ditukar kepada wang tunai.,['Mata ganjaran boleh digunakan untuk mengurangkan jumlah pembelian anda pada transaksi seterusnya. Penting untuk diingat bahawa mata ganjaran tidak boleh ditukar kepada wang tunai atau dipindahkan kepada akaun lain. Ia adalah sebahagian daripada program kesetiaan kami.']
Adakah mata ganjaran mempunyai tarikh luput?,"Ya, mata ganjaran biasanya mempunyai tarikh luput 6 bulan dari tarikh ia diperoleh.","['Ya, mata ganjaran yang anda peroleh mempunyai tarikh luput. Biasanya, ia akan luput 6 bulan dari tarikh ia dikreditkan ke akaun anda. Pastikan anda menggunakannya sebelum tarikh tersebut untuk mengelakkan pembaziran. Anda boleh menyemak baki mata ganjaran anda di profil.']"
Bagaimana saya boleh menukar alamat penghantaran selepas membuat pesanan?,Anda boleh menukar alamat penghantaran dalam tempoh 1 jam selepas pesanan dibuat melalui halaman butiran pesanan.,"['Anda boleh menukar alamat penghantaran anda dalam tempoh 1 jam selepas pesanan dibuat. Pergi ke halaman butiran pesanan dan cari pilihan untuk mengedit alamat. Selepas tempoh ini, perubahan tidak lagi dibenarkan kerana pesanan mungkin sudah diproses untuk penghantaran.']"
Apakah pilihan pembayaran yang diterima oleh platform?,"Platform menerima pembayaran melalui kad kredit/debit, perbankan dalam talian, dan e-wallet.","['Platform kami menerima pelbagai pilihan pembayaran untuk kemudahan anda, termasuk kad kredit/debit utama, perbankan dalam talian melalui FPX, dan e-wallet popular. Kami sentiasa berusaha untuk menambah lebih banyak pilihan pembayaran yang selamat. Pembayaran tunai semasa penghantaran tidak tersedia.']"
Adakah terdapat caj tersembunyi semasa pembayaran?,"Tiada caj tersembunyi, semua caj akan dipaparkan dengan jelas sebelum pengesahan pembayaran.","['Kami menjamin tiada caj tersembunyi. Semua caj yang berkaitan dengan pembelian anda, termasuk cukai dan kos penghantaran, akan dipaparkan dengan jelas pada halaman pembayaran sebelum anda mengesahkan transaksi. Ini adalah sebahagian daripada komitmen kami terhadap ketelusan.']"
Bolehkah saya membatalkan pesanan selepas ia dihantar?,Pembatalan pesanan tidak dibenarkan setelah item dihantar.,"['Pembatalan pesanan tidak dibenarkan setelah item anda dihantar oleh penjual. Anda boleh membatalkan pesanan hanya sebelum status penghantaran berubah. Jika anda ingin memulangkan barang selepas penghantaran, sila rujuk polisi pemulangan kami.']"
