id,title,context,question,answer_text,answer_start
laz_qa_001,Lazada Pembatalan,"Mengikut dasar pembatalan Lazada, anda boleh membatalkan pesanan anda terus dari akaun Lazada anda sebelum pesanan dihantar keluar dari Lazada atau gudang penjual.",Bagaimana jika saya ingin membatalkan produk LazMall saya?,"Mengikut dasar pembatalan Lazada, anda boleh membatalkan pesanan anda terus dari akaun Lazada anda sebelum pesanan dihantar keluar dari Lazada atau gudang penjual.",0
laz_qa_002,Lazada Polisi Pemulangan,"Terdapat 3 jenis Polisi Pemulangan yang tersedia di Lazada, bergantung pada produk dan penjual.",Berapa jenis Polisi Pemulangan yang tersedia di Lazada?,"Terdapat 3 jenis Polisi Pemulangan yang tersedia di Lazada, bergantung pada produk dan penjual.",0
laz_qa_003,Lazada Pemulangan Jimat Borong,"Walau bagaimanapun, jika anda ingin memulangkan item yang telah anda beli di bawah promosi 'Jimat Borong' dan/atau 'Flexi Combo', yang merupakan diskaun yang diterima daripada pembelian secara pukal. Kemudian, anda mesti memulangkan semua item yang telah dihantar dalam satu pakej untuk mengelakkan permintaan anda daripada ditolak.",Apakah yang perlu saya lakukan jika saya ingin memulangkan item yang dibeli di bawah promosi 'Jimat Borong'?,anda mesti memulangkan semua item yang telah dihantar dalam satu pakej untuk mengelakkan permintaan anda daripada ditolak.,181
laz_qa_004,Lazada Tempoh Pemulangan,LazMall & Choice (selepas 1 Februari 2024) | 30 Hari | 30 Hari,Berapa lama tempoh pemulangan untuk produk LazMall & Choice selepas 1 Februari 2024?,30 Hari,43
laz_qa_005,Lazada Tempoh Pemulangan,Pasaran & LazGlobal (selepas 31 Okt 2024) | 15 Hari | 15 Hari,Berapa lama tempoh pemulangan untuk produk Pasaran & LazGlobal selepas 31 Oktober 2024?,15 Hari,42
laz_qa_006,Lazada Tukar Fikiran,"""Tukar fikiran"" membolehkan anda memulangkan item jika anda tidak lagi mahu produk tersebut dan mendapati ia tidak sesuai atau ingin membuat pesanan semula dalam varian yang berbeza (contoh: saiz, warna, gaya).","Apakah maksud ""Tukar fikiran"" dalam dasar pemulangan Lazada?","""Tukar fikiran"" membolehkan anda memulangkan item jika anda tidak lagi mahu produk tersebut dan mendapati ia tidak sesuai atau ingin membuat pesanan semula dalam varian yang berbeza (contoh: saiz, warna, gaya).",0
laz_qa_007,Lazada Tukar Fikiran,"Anda hanya boleh menghantar permintaan pemulangan di bawah alasan ""Tukar fikiran"" jika: - Item yang anda beli mempunyai logo ""Tukar fikiran"" pada Halaman Produk.","Bilakah saya boleh memulangkan item atas sebab ""Tukar fikiran""?","Anda hanya boleh menghantar permintaan pemulangan di bawah alasan ""Tukar fikiran"" jika: - Item yang anda beli mempunyai logo ""Tukar fikiran"" pada Halaman Produk.",0
laz_qa_008,Lazada Tempoh Pemulangan,"Sila ambil perhatian bahawa bermula dari 31 Oktober 2024, tempoh pemulangan pelanggan akan dikemas kini dari 7 hari hingga 15 hari untuk Pasaran Lazada & Penjual LazGlobal.",Apakah perubahan tempoh pemulangan pelanggan yang dikemas kini bermula dari 31 Oktober 2024?,tempoh pemulangan pelanggan akan dikemas kini dari 7 hari hingga 15 hari untuk Pasaran Lazada & Penjual LazGlobal.,55
laz_qa_009,Lazada Tempoh Pemulangan,Taobao | 15 Hari | 15 Hari,Berapa lama tempoh pemulangan untuk produk Taobao di Lazada?,15 Hari,9
laz_qa_010,Lazada Tukar Fikiran Elektronik,"Produk di bawah Kategori Elektronik hendaklah TIDAK DIBUKA (meterai tidak dikoyak, diusik atau diubah) dan dalam KEADAAN BOLEH DIPERJUALBELI (iaitu, Produk TIDAK mempunyai tanda-tanda: penggunaan, kesan barang dipakai sepeti haus, lusuh dan kemik atau sebarang kerosakan) untuk dianggap layak untuk pulangan ""Tukar fikiran"".","Apakah yang perlu saya perhatikan sebelum memulangkan produk elektronik atas sebab ""Tukar fikiran""?","Produk di bawah Kategori Elektronik hendaklah TIDAK DIBUKA (meterai tidak dikoyak, diusik atau diubah) dan dalam KEADAAN BOLEH DIPERJUALBELI (iaitu, Produk TIDAK mempunyai tanda-tanda: penggunaan, kesan barang dipakai sepeti haus, lusuh dan kemik atau sebarang kerosakan) untuk dianggap layak untuk pulangan ""Tukar fikiran"".",0
shopee_qa_001,Shopee Pulangan,"Setelah permohonan pulangan anda diluluskan, anda dikehendaki memilih kaedah penghantaran pulangan yang anda inginkan dalam masa 2 hari dan memulangkan item kepada penjual dalam masa 6 hari berikutnya.",Bagaimanakah cara untuk menghantar bungkusan pulangan saya di Shopee?,"Setelah permohonan pulangan anda diluluskan, anda dikehendaki memilih kaedah penghantaran pulangan yang anda inginkan dalam masa 2 hari dan memulangkan item kepada penjual dalam masa 6 hari berikutnya.",0
shopee_qa_002,Shopee Kaedah Pemulangan,"1. Kaedah drop off (penyerahan)
2. Kaedah pick up (kutipan)
3. Kaedah self arrange",Apakah kaedah-kaedah pemulangan yang tersedia di Shopee?,"1. Kaedah drop off (penyerahan)
2. Kaedah pick up (kutipan)
3. Kaedah self arrange",0
shopee_qa_003,Shopee Drop Off,"Anda boleh memulangkan bungkusan anda dengan mudah dengan menghantarnya ke mana-mana rakan logistik Shopee Free Return iaitu SPX Express, Flash Express atau PosLaju.",Bagaimanakah cara untuk memulangkan bungkusan melalui kaedah drop off di Shopee?,"Anda boleh memulangkan bungkusan anda dengan mudah dengan menghantarnya ke mana-mana rakan logistik Shopee Free Return iaitu SPX Express, Flash Express atau PosLaju.",0
